Sample_name,EcoClusterID,fieldID,tagID,healthChart,locality,timeOfDay,depthOfBottominMeters,decimalLatitude,decimalLongitude,EcoLocationID_short,EcoClusterID.1,EcoReefID,EcoSiteID,EcoZoneID,EcoPlotID,eventEnteredBy,dayCollected,monthCollected,yearCollected,Cluster
BLCH101A,Offshore Central GBR,31,Spis_51,C2,Davies,16:00,5,-18.8145,147.6372,OCDA_BA2S,Offshore Central GBR,Davies,Back 2,Shallow,1,Zoe Meziere,30,3,2022,Cluster1
BLCH105A,Offshore Central GBR,40,Spis_37,D1,Davies,11:30,5,-18.833,147.63338,OCDA_LA1S,Offshore Central GBR,Davies,Lagoon 1,Shallow,2,Zoe Meziere,31,3,2022,Cluster1
BLCH107A,Offshore Central GBR,22,Spis_46,C2,Davies,11:30,5,-18.833,147.63338,OCDA_LA1S,Offshore Central GBR,Davies,Lagoon 1,Shallow,4,Zoe Meziere,31,3,2022,Cluster1
BLCH108A,Offshore Central GBR,7,Spis_0,C1,Davies,15:00,5,-18.80575,147.6686,OCDA_FL1S,Offshore Central GBR,Davies,Flank 1,Shallow,1,Zoe Meziere,31,3,2022,Cluster1
BLCH109A,Offshore Central GBR,18,Spis_10,D1,Davies,15:00,5,-18.80575,147.6686,OCDA_FL1S,Offshore Central GBR,Davies,Flank 1,Shallow,1,Zoe Meziere,31,3,2022,Cluster1
BLCH10A,Offshore Central GBR,18,Spis_17,C2,Davies,14:30,5,-18.8259,147.62727,OCDA_BA1S,Offshore Central GBR,Davies,Back 1,Shallow,4,Zoe Meziere,28,3,2022,Cluster1
BLCH112A,Offshore Central GBR,30,Spis_4,C3,Davies,15:00,5,-18.80575,147.6686,OCDA_FL1S,Offshore Central GBR,Davies,Flank 1,Shallow,1,Zoe Meziere,31,3,2022,Cluster1
BLCH114A,Offshore Central GBR,26,Spis_9,C2,Davies,15:00,5,-18.80575,147.6686,OCDA_FL1S,Offshore Central GBR,Davies,Flank 1,Shallow,1,Zoe Meziere,31,3,2022,Cluster1
BLCH117A,Offshore Central GBR,38,Spis_21,C3,Davies,15:00,5,-18.80575,147.6686,OCDA_FL1S,Offshore Central GBR,Davies,Flank 1,Shallow,4,Zoe Meziere,31,3,2022,Cluster1
BLCH118A,Offshore Central GBR,10,Spis_22,C2.5,Davies,15:00,5,-18.80575,147.6686,OCDA_FL1S,Offshore Central GBR,Davies,Flank 1,Shallow,4,Zoe Meziere,31,3,2022,Cluster1
BLCH11A,Offshore Central GBR,11,Spis_43,C1,Davies,14:30,5,-18.8259,147.62727,OCDA_BA1S,Offshore Central GBR,Davies,Back 1,Shallow,4,Zoe Meziere,28,3,2022,Cluster1
BLCH120A,Offshore Central GBR,5,Spis_20,C2,Davies,15:00,5,-18.80575,147.6686,OCDA_FL1S,Offshore Central GBR,Davies,Flank 1,Shallow,4,Zoe Meziere,31,3,2022,Cluster1
BLCH121A,Offshore Central GBR,31,Spis_19,C2,Davies,15:00,5,-18.80575,147.6686,OCDA_FL1S,Offshore Central GBR,Davies,Flank 1,Shallow,4,Zoe Meziere,31,3,2022,Cluster1
BLCH122A,Offshore Central GBR,22,Spis_23,C2,Davies,15:00,5,-18.80575,147.6686,OCDA_FL1S,Offshore Central GBR,Davies,Flank 1,Shallow,4,Zoe Meziere,31,3,2022,Cluster1
BLCH125A,Offshore Central GBR,8,Spis_1,C2,Chicken,9:00,5,-18.652217,147.7184615,OCCH_FL1S,Offshore Central GBR,Chicken,Flank 1,Shallow,1,Zoe Meziere,1,4,2022,Cluster3
BLCH126A,Offshore Central GBR,40,Spis_4,C2.5,Chicken,9:00,5,-18.652217,147.7184615,OCCH_FL1S,Offshore Central GBR,Chicken,Flank 1,Shallow,1,Zoe Meziere,1,4,2022,Cluster3
BLCH127A,Offshore Central GBR,4,Spis_22,C2.5,Chicken,9:00,5,-18.652217,147.7184615,OCCH_FL1S,Offshore Central GBR,Chicken,Flank 1,Shallow,1,Zoe Meziere,1,4,2022,Cluster3
BLCH129A,Offshore Central GBR,1,Spis_16,C2.5,Chicken,9:00,5,-18.652217,147.7184615,OCCH_FL1S,Offshore Central GBR,Chicken,Flank 1,Shallow,1,Zoe Meziere,1,4,2022,Cluster5
BLCH132A,Offshore Central GBR,28,Spis_14,C2.5,Chicken,9:00,5,-18.652217,147.7184615,OCCH_FL1S,Offshore Central GBR,Chicken,Flank 1,Shallow,1,Zoe Meziere,1,4,2022,Cluster3
BLCH135A,Offshore Central GBR,14,Spis_35,C2,Chicken,9:00,5,-18.652217,147.7184615,OCCH_FL1S,Offshore Central GBR,Chicken,Flank 1,Shallow,1,Zoe Meziere,1,4,2022,Cluster5
BLCH136A,Offshore Central GBR,31,Spis_36,D2,Chicken,9:00,5,-18.652217,147.7184615,OCCH_FL1S,Offshore Central GBR,Chicken,Flank 1,Shallow,1,Zoe Meziere,1,4,2022,Cluster3
BLCH139A,Offshore Central GBR,32,Spis_28,C2.5,Chicken,9:00,5,-18.652217,147.7184615,OCCH_FL1S,Offshore Central GBR,Chicken,Flank 1,Shallow,2,Zoe Meziere,1,4,2022,Cluster3
BLCH141A,Offshore Central GBR,20,Spis_32,C3,Chicken,9:00,5,-18.652217,147.7184615,OCCH_FL1S,Offshore Central GBR,Chicken,Flank 1,Shallow,2,Zoe Meziere,1,4,2022,Cluster3
BLCH145A,Offshore Central GBR,1,Spis_9,C2,Chicken,10:30,5,-18.6532055,147.708533,OCCH_BA1S,Offshore Central GBR,Chicken,Back 1,Shallow,1,Zoe Meziere,1,4,2022,Cluster1
BLCH148A,Offshore Central GBR,16,Spis_3,C2,Chicken,10:30,5,-18.6532055,147.708533,OCCH_BA1S,Offshore Central GBR,Chicken,Back 1,Shallow,2,Zoe Meziere,1,4,2022,Cluster1
BLCH151A,Offshore Central GBR,17,Spis_8,C2,Chicken,10:30,5,-18.6532055,147.708533,OCCH_BA1S,Offshore Central GBR,Chicken,Back 1,Shallow,3,Zoe Meziere,1,4,2022,Cluster1
BLCH152A,Offshore Central GBR,3,Spis_13,C2,Chicken,10:30,5,-18.6532055,147.708533,OCCH_BA1S,Offshore Central GBR,Chicken,Back 1,Shallow,3,Zoe Meziere,1,4,2022,Cluster1
BLCH154A,Offshore Central GBR,33,Spis_11,C3,Chicken,10:30,5,-18.6532055,147.708533,OCCH_BA1S,Offshore Central GBR,Chicken,Back 1,Shallow,3,Zoe Meziere,1,4,2022,Cluster1
BLCH157A,Offshore Central GBR,34,Spis_34,C2,Chicken,10:30,5,-18.6532055,147.708533,OCCH_BA1S,Offshore Central GBR,Chicken,Back 1,Shallow,4,Zoe Meziere,1,4,2022,Cluster1
BLCH161A,Offshore Central GBR,30,Spis_1,C2,Chicken,15:30,5,-18.6604,147.7027,OCCH_BA2S,Offshore Central GBR,Chicken,Back 2,Shallow,1,Zoe Meziere,1,4,2022,Cluster5
BLCH162A,Offshore Central GBR,38,Spis_0,C2,Chicken,15:30,5,-18.6604,147.7027,OCCH_BA2S,Offshore Central GBR,Chicken,Back 2,Shallow,1,Zoe Meziere,1,4,2022,Cluster5
BLCH163A,Offshore Central GBR,11,Spis_28,C2,Chicken,15:30,5,-18.6604,147.7027,OCCH_BA2S,Offshore Central GBR,Chicken,Back 2,Shallow,1,Zoe Meziere,1,4,2022,Cluster5
BLCH165A,Offshore Central GBR,5,Spis_8,C2,Davies,14:30,5,-18.8259,147.62727,OCDA_BA1S,Offshore Central GBR,Davies,Back 1,Shallow,2,Zoe Meziere,28,3,2022,Cluster5
BLCH16A,Offshore Central GBR,19,Spis_10,D1,Chicken,15:30,5,-18.6604,147.7027,OCCH_BA2S,Offshore Central GBR,Chicken,Back 2,Shallow,4,Zoe Meziere,1,4,2022,Cluster1
BLCH174A,Offshore Central GBR,8,Spis_24,D1,Little Broadhurst,8:00,5,-18.944062,147.699285,OCLB_FL1S,Offshore Central GBR,Little Broadhurst,Flank 1,Shallow,1,Zoe Meziere,2,4,2022,Cluster1
BLCH182A,Offshore Central GBR,22,Spis_26,C2.5,Little Broadhurst,8:00,5,-18.944062,147.699285,OCLB_FL1S,Offshore Central GBR,Little Broadhurst,Flank 1,Shallow,1,Zoe Meziere,2,4,2022,Cluster1
BLCH184B,Offshore Central GBR,36,Spis_30,D1.5,Little Broadhurst,11:00,5,-18.9493475,147.6929265,OCLB_BA1S,Offshore Central GBR,Little Broadhurst,Back 1,Shallow,1,Zoe Meziere,2,4,2022,Cluster1
BLCH190A,Offshore Central GBR,5,Spis_30,D1,Little Broadhurst,8:00,5,-18.944062,147.699285,OCLB_FL1S,Offshore Central GBR,Little Broadhurst,Flank 1,Shallow,3,Zoe Meziere,2,4,2022,Cluster1
BLCH193B,Offshore Central GBR,37,Spis_10,D1.5,Little Broadhurst,11:00,5,-18.9493475,147.6929265,OCLB_BA1S,Offshore Central GBR,Little Broadhurst,Back 1,Shallow,1,Zoe Meziere,2,4,2022,Cluster1
BLCH194B,Offshore Central GBR,19,Spis_16,D1.5,Little Broadhurst,11:00,5,-18.9493475,147.6929265,OCLB_BA1S,Offshore Central GBR,Little Broadhurst,Back 1,Shallow,1,Zoe Meziere,2,4,2022,Cluster1
BLCH195B,Offshore Central GBR,12,Spis_16,D1.5,Little Broadhurst,11:00,5,-18.9493475,147.6929265,OCLB_BA1S,Offshore Central GBR,Little Broadhurst,Back 1,Shallow,4,Zoe Meziere,2,4,2022,Cluster1
BLCH196B,Offshore Central GBR,14,Spis_13,D3,Little Broadhurst,11:00,5,-18.9493475,147.6929265,OCLB_BA1S,Offshore Central GBR,Little Broadhurst,Back 1,Shallow,4,Zoe Meziere,2,4,2022,Cluster1
BLCH197B,Offshore Central GBR,27,Spis_10,D1.5,Little Broadhurst,11:00,5,-18.9493475,147.6929265,OCLB_BA1S,Offshore Central GBR,Little Broadhurst,Back 1,Shallow,4,Zoe Meziere,2,4,2022,Cluster1
BLCH20A,Offshore Central GBR,16,Spis_14,C1,Davies,14:30,5,-18.8259,147.62727,OCDA_BA1S,Offshore Central GBR,Davies,Back 1,Shallow,3,Zoe Meziere,28,3,2022,Cluster1
BLCH22A,Offshore Central GBR,16,Spis_15,C2,Davies,16:30,5,-18.8192,147.66391,OCDA_FR1S,Offshore Central GBR,Davies,Front 1,Shallow,4,Zoe Meziere,28,3,2022,Cluster1
BLCH30A,Offshore Central GBR,11,Spis_9,C2,Davies,16:30,5,-18.8192,147.66391,OCDA_FR1S,Offshore Central GBR,Davies,Front 1,Shallow,3,Zoe Meziere,28,3,2022,Cluster5
BLCH31A,Offshore Central GBR,4,Spis_17,C2,Davies,16:30,5,-18.8192,147.66391,OCDA_FR1S,Offshore Central GBR,Davies,Front 1,Shallow,3,Zoe Meziere,28,3,2022,Cluster1
BLCH32A,Offshore Central GBR,7,Spis_15,C2,Davies,16:30,5,-18.8192,147.66391,OCDA_FR1S,Offshore Central GBR,Davies,Front 1,Shallow,3,Zoe Meziere,28,3,2022,Cluster1
BLCH33A,Offshore Central GBR,18,Spis_16,D2,Davies,16:30,5,-18.8192,147.66391,OCDA_FR1S,Offshore Central GBR,Davies,Front 1,Shallow,3,Zoe Meziere,28,3,2022,Cluster5
BLCH35A,Offshore Central GBR,5,Spis_9,C2,Davies,10:00,13,-18.81966,147.66394,OCDA_FR1D,Offshore Central GBR,Davies,Front 1,Deep,4,Zoe Meziere,29,3,2022,Cluster1
BLCH36A,Offshore Central GBR,9,Spis_16,C2,Davies,10:00,13,-18.81966,147.66394,OCDA_FR1D,Offshore Central GBR,Davies,Front 1,Deep,4,Zoe Meziere,29,3,2022,Cluster4
BLCH38A,Offshore Central GBR,3,Spis_15,C1,Davies,10:00,13,-18.81966,147.66394,OCDA_FR1D,Offshore Central GBR,Davies,Front 1,Deep,4,Zoe Meziere,29,3,2022,Cluster1
BLCH41A,Offshore Central GBR,18,Spis_18,D1,Davies,10:00,13,-18.81966,147.66394,OCDA_FR1D,Offshore Central GBR,Davies,Front 1,Deep,4,Zoe Meziere,29,3,2022,Cluster1
BLCH42A,Offshore Central GBR,5,Spis_14,C4,Davies,14:00,13,-18.80592,147.6688,OCDA_FL1D,Offshore Central GBR,Davies,Flank1,Deep,1,Zoe Meziere,29,3,2022,Cluster1
BLCH46A,Offshore Central GBR,16,Spis_38,C2,Davies,14:00,13,-18.80592,147.6688,OCDA_FL1D,Offshore Central GBR,Davies,Flank1,Deep,1,Zoe Meziere,29,3,2022,Cluster1
BLCH49A,Offshore Central GBR,14,Spis_0,C4,Davies,14:00,13,-18.80592,147.6688,OCDA_FL1D,Offshore Central GBR,Davies,Flank1,Deep,1,Zoe Meziere,29,3,2022,Cluster1
BLCH4A,Offshore Central GBR,10,Spis_21,C2,Davies,10:30,13,-18.82579,147.62735,OCDA_BA1D,Offshore Central GBR,Davies,Back 1,Deep,2,Zoe Meziere,28,3,2022,Cluster1
BLCH55A,Offshore Central GBR,16,Spis_20,C2,Davies,16:00,5,-18.8145,147.6372,OCDA_BA2S,Offshore Central GBR,Davies,Back 2,Shallow,1,Zoe Meziere,29,3,2022,Cluster1
BLCH56A,Offshore Central GBR,5,Spis_19,C3,Davies,16:00,5,-18.8145,147.6372,OCDA_BA2S,Offshore Central GBR,Davies,Back 2,Shallow,1,Zoe Meziere,29,3,2022,Cluster1
BLCH63A,Offshore Central GBR,10,Spis_51,C2,Davies,9:30,5,-18.83187,147.6525,OCDA_FR2S,Offshore Central GBR,Davies,Front 2,Shallow,1,Zoe Meziere,30,3,2022,Cluster1
BLCH78A,Offshore Central GBR,5,Spis_14,C3.5,Davies,9:30,5,-18.83187,147.6525,OCDA_FR2S,Offshore Central GBR,Davies,Front 2,Shallow,3,Zoe Meziere,30,3,2022,Cluster1
BLCH85A,Offshore Central GBR,22,Spis_12,C2,Davies,16:00,5,-18.8145,147.6372,OCDA_BA2S,Offshore Central GBR,Davies,Back 2,Shallow,1,Zoe Meziere,30,3,2022,Cluster1
BLCH86A,Offshore Central GBR,14,Spis_10,C2,Davies,16:00,5,-18.8145,147.6372,OCDA_BA2S,Offshore Central GBR,Davies,Back 2,Shallow,1,Zoe Meziere,30,3,2022,Cluster1
BLCH87A,Offshore Central GBR,32,Spis_11,D3,Davies,16:00,5,-18.8145,147.6372,OCDA_BA2S,Offshore Central GBR,Davies,Back 2,Shallow,1,Zoe Meziere,30,3,2022,Cluster1
BLCH91A,Offshore Central GBR,33,Spis_24,C2,Davies,16:00,5,-18.8145,147.6372,OCDA_BA2S,Offshore Central GBR,Davies,Back 2,Shallow,1,Zoe Meziere,30,3,2022,Cluster1
BLCH93A,Offshore Central GBR,21,Spis_27,C2,Davies,16:00,5,-18.8145,147.6372,OCDA_BA2S,Offshore Central GBR,Davies,Back 2,Shallow,1,Zoe Meziere,30,3,2022,Cluster1
BLCH99A,Offshore Central GBR,20,Spis_27,C2,Davies,16:00,5,-18.8145,147.6372,OCDA_BA2S,Offshore Central GBR,Davies,Back 2,Shallow,1,Zoe Meziere,30,3,2022,Cluster1
